98,1,1,0,1,0,0,0
0,0,1,1,0,2,1,96
94,1,0,1,1,0,1,3
1,1,2,1,1,2,1,92
90,1,1,2,1,2,2,2
0,0,2,2,0,4,2,91
87,2,0,2,2,0,2,6
2,2,5,1,2,4,1,84
82,1,2,3,1,4,3,5
1,1,2,3,1,4,3,86
80,3,3,2,3,2,2,6
2,2,6,2,2,6,2,79
75,2,2,4,2,4,4,8
2,2,5,3,2,6,3,78
72,3,4,3,3,4,3,9
3,3,6,3,3,6,3,74
68,3,5,4,3,6,4,8
2,2,6,4,2,8,4,73
65,4,4,4,4,4,4,12
4,4,9,3,4,8,3,66
60,3,6,5,3,8,5,11
3,3,6,5,3,8,5,68
58,5,7,4,5,6,4,12
4,4,10,4,4,10,4,61
53,4,6,6,4,8,6,14
4,4,9,5,4,10,5,60
50,5,8,5,5,8,5,15
5,5,10,5,5,10,5,56
46,5,9,6,5,10,6,14
4,4,10,6,4,12,6,55
43,6,8,6,6,8,6,18
6,6,13,5,6,12,5,48
38,5,10,7,5,12,7,17
5,5,10,7,5,12,7,50
36,7,11,6,7,10,6,18
6,6,14,6,6,14,6,43
31,6,10,8,6,12,8,20
6,6,13,7,6,14,7,42
28,7,12,7,7,12,7,21
7,7,14,7,7,14,7,38
24,7,13,8,7,14,8,20
6,6,14,8,6,16,8,37
21,8,12,8,8,12,8,24
8,8,17,7,8,16,7,30
16,7,14,9,7,16,9,23
7,7,14,9,7,16,9,32
14,9,15,8,9,14,8,24
8,8,18,8,8,18,8,25
9,8,14,10,8,16,10,26
8,8,17,9,8,18,9,24
8,8,16,8,8,16,8,29
13,8,16,8,8,16,8,24
8,8,15,9,8,16,9,28
10,9,16,9,9,16,9,23
7,7,18,9,7,20,9,24
8,8,15,7,8,14,7,34
20,7,16,7,7,16,7,21
7,7,12,9,7,14,9,36
18,9,15,8,9,14,8,20
6,6,18,8,6,20,8,29
13,8,12,8,8,12,8,32
16,8,17,7,8,16,7,22
8,7,12,11,7,16,11,29
9,9,14,11,9,16,11,22
6,6,21,7,6,22,7,26
12,7,12,7,7,12,7,37
23,7,14,7,7,14,7,22
8,7,11,10,7,14,10,34
16,8,14,10,8,16,10,19
5,5,16,9,5,20,9,32
14,9,11,8,9,10,8,32
16,8,20,6,8,18,6,19
7,6,10,12,6,16,12,32
10,10,13,11,10,14,11,22
6,6,24,6,6,24,6,23
11,6,12,6,6,12,6,42
30,6,11,7,6,12,7,22
8,7,10,9,7,12,9,39
23,7,14,9,7,16,9,16
4,4,15,7,4,18,7,42
28,7,8,7,7,8,7,29
15,7,14,7,7,14,7,30
16,7,9,12,7,14,12,24
6,6,16,10,6,20,10,27
11,6,14,8,6,16,8,32
16,8,15,5,8,12,5,32
22,5,12,9,5,16,9,23
7,7,6,13,7,12,13,36
16,8,19,7,8,18,7,18
8,3,16,7,3,20,7,37
23,7,4,9,7,6,9,36
18,9,17,6,9,14,6,22
12,4,12,12,4,20,12,25
7,7,8,11,7,12,11,38
20,7,19,6,7,18,6,18
6,6,16,4,6,14,4,45
37,4,8,8,4,12,8,20
6,6,7,9,6,10,9,48
30,9,14,7,9,12,7,13
3,3,16,9,3,22,9,36
